N,P,K,temperature,humidity,ph,rainfall,label,Pest,Pesticide,Active Ingredient,Usage Guidelines,Historical Temp (Avg Last 7 days),Historical Humidity (Avg Last 7 days),Historical Rainfall (Last 7 days),Atmospheric Pressure (hPa),Solar Radiation (UV Index),Wind Speed (km/h),Wind Direction (°),Cloud Cover (%),Evapotranspiration Rate (mm/day),Pest Occurrence (Count),Pest Life Cycle Stage,Neighboring Crop Infestation Risk (%),NDVI (Normalized Difference Vegetation Index),Chlorophyll Content (SPAD),Soil Microbial Activity (%),Soil Temp (°C),Soil pH Variability,Disease Symptoms Detected,Fertilizer Usage History
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,20.14,88.64,219.4,1013.42,6.51,19.65,82.58,84.47,3.71,33.0,Adult,81.67,0.17,21.62,21.82,17.65,-0.09,No,Deficient
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,30.63,52.8,116.52,1048.68,9.15,22.23,313.25,10.97,3.0,23.0,Larva,49.9,0.64,57.11,63.84,15.65,-0.95,Yes,Deficient
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,18.99,83.91,76.28,1002.54,1.71,37.0,354.37,38.3,1.75,19.0,Larva,19.14,0.84,21.74,52.2,18.86,-0.68,No,Deficient
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,26.33,49.29,197.24,1007.28,1.9,7.85,148.48,14.12,3.57,40.0,Larva,16.48,0.65,44.11,48.0,26.7,-0.44,Yes,Optimal
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,24.43,75.9,63.65,1003.67,9.74,27.07,355.38,91.58,4.69,16.0,Larva,41.06,0.68,32.73,22.11,28.42,0.03,Yes,Optimal
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,23.36,57.14,128.92,1022.32,7.48,28.8,164.53,90.48,3.39,14.0,Egg,23.05,0.45,25.53,25.85,20.19,0.71,No,Deficient
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,18.89,54.32,122.47,1029.93,9.51,32.32,132.5,70.23,4.66,42.0,Larva,74.6,0.14,27.52,43.44,25.62,0.6,Yes,Deficient
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,20.4,68.83,114.06,1025.8,8.24,0.6,17.38,83.47,1.12,33.0,Egg,52.83,0.72,59.88,23.83,30.92,0.57,Yes,Optimal
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,19.8,75.34,73.1,1042.43,3.76,32.28,5.83,48.83,0.82,33.0,Egg,59.48,0.72,29.33,32.69,29.44,0.47,Yes,Deficient
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,25.15,59.35,125.5,1027.92,9.53,34.53,168.98,10.08,1.47,49.0,Egg,24.88,0.13,58.81,62.53,30.38,0.87,No,Optimal
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,15.73,93.55,22.26,1025.05,9.46,2.79,10.79,82.35,3.32,8.0,Egg,41.74,0.7,33.63,43.81,23.76,0.91,Yes,Deficient
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,32.81,85.56,282.95,1037.83,1.84,39.52,22.96,88.25,1.39,20.0,Adult,97.03,0.7,50.81,30.79,16.18,-0.35,No,Deficient
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,28.41,42.77,127.03,1039.87,2.11,1.92,143.01,27.21,1.12,22.0,Larva,51.57,0.08,28.89,11.06,21.24,-0.24,Yes,Excess
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,33.28,57.93,284.03,1013.65,5.22,27.16,313.75,19.11,3.61,29.0,Larva,27.63,0.01,26.61,54.58,23.29,0.95,Yes,Deficient
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,30.17,97.42,97.44,1021.14,9.61,25.64,188.8,16.28,3.18,30.0,Adult,11.03,0.38,32.2,60.01,33.08,0.39,No,Deficient
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,33.64,83.94,184.06,1048.07,8.25,10.54,301.92,75.0,3.18,42.0,Egg,92.08,0.25,22.03,15.93,32.68,0.67,No,Optimal
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,34.84,87.54,296.21,993.94,8.78,6.13,342.26,55.32,1.56,44.0,Egg,48.86,0.68,41.94,60.65,30.73,-0.21,No,Optimal
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,26.86,93.95,41.73,1031.51,3.3,15.96,288.59,59.88,0.94,50.0,Larva,92.72,0.62,33.41,49.28,20.87,0.08,Yes,Excess
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,33.87,79.78,154.9,1006.91,9.62,26.13,145.64,90.5,4.3,43.0,Adult,50.09,1.0,41.33,52.96,25.38,0.58,No,Excess
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,19.11,92.47,124.09,1002.97,8.39,32.25,193.46,41.41,2.54,25.0,Egg,75.93,0.35,28.08,71.54,14.7,0.92,Yes,Deficient
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,24.38,80.36,221.03,1037.55,3.75,3.36,163.81,59.93,3.06,16.0,Adult,48.29,0.42,25.45,18.15,27.39,0.93,No,Deficient
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,28.13,56.07,270.93,1031.85,2.01,0.54,245.19,43.06,4.48,23.0,Larva,89.49,0.47,28.88,45.04,20.5,0.22,Yes,Optimal
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,31.0,95.99,17.11,995.99,1.64,18.27,184.51,57.86,0.53,8.0,Egg,58.58,0.38,39.71,49.65,13.09,-0.21,Yes,Deficient
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,28.11,73.54,253.17,1030.0,2.61,31.41,235.24,28.84,1.2,15.0,Egg,90.9,0.16,40.46,36.62,23.17,0.88,No,Optimal
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,23.15,90.44,163.63,990.41,3.77,20.05,195.64,13.11,4.76,11.0,Larva,74.25,0.09,24.39,59.52,22.46,-0.39,Yes,Excess
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,20.07,75.85,106.32,987.7,7.78,5.19,86.38,49.71,3.26,25.0,Adult,71.26,0.12,47.59,41.11,26.5,0.69,No,Excess
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,32.78,41.52,256.07,1044.89,5.32,30.97,38.41,65.94,3.9,13.0,Larva,98.77,0.72,56.71,22.43,13.34,0.39,Yes,Optimal
